iter	Passed	Remaining
0	30	30724
1	61	30893
2	188	62530
3	282	70312
4	348	69267
5	407	67571
6	496	70501
7	561	69591
8	611	67300
9	687	68071
10	740	66598
11	794	65448
12	850	64587
13	897	63243
14	963	63242
15	1020	62771
16	1076	62231
17	1141	62252
18	1196	61752
19	1250	61251
20	1310	61104
21	1354	60226
22	1386	58897
23	1414	57519
24	1441	56219
25	1466	54940
26	1491	53742
27	1514	52567
28	1538	51509
29	1559	50434
30	1580	49396
31	1600	48415
32	1621	47502
33	1641	46638
34	1662	45836
35	1683	45086
36	1705	44380
37	1725	43684
38	1746	43024
39	1767	42419
40	1787	41804
41	1807	41224
42	1827	40671
43	1848	40156
44	1869	39670
45	1890	39198
46	1909	38727
47	1929	38277
48	1951	37866
49	1972	37469
50	1992	37078
51	2012	36692
52	2033	36328
53	2053	35970
54	2073	35625
55	2094	35309
56	2115	34995
57	2135	34682
58	2155	34371
59	2176	34093
60	2197	33822
61	2217	33551
62	2238	33293
63	2258	33033
64	2278	32781
65	2298	32532
66	2319	32295
67	2340	32075
68	2360	31849
69	2380	31632
70	2400	31412
71	2422	31217
72	2442	31015
73	2462	30812
74	2482	30622
75	2503	30440
76	2523	30247
77	2544	30072
78	2564	29900
79	2584	29726
80	2605	29562
81	2626	29401
82	2647	29251
83	2667	29088
84	2687	28930
85	2707	28777
86	2729	28642
87	2749	28493
88	2769	28347
89	2789	28207
90	2810	28076
91	2831	27944
92	2852	27815
93	2873	27691
94	2893	27561
95	2914	27441
96	2933	27310
97	2954	27195
98	2974	27073
99	2996	26964
100	3016	26853
101	3037	26741
102	3057	26628
103	3078	26522
104	3099	26419
105	3119	26311
106	3140	26212
107	3161	26111
108	3182	26010
109	3202	25908
110	3221	25804
111	3242	25706
112	3262	25606
113	3282	25511
114	3302	25414
115	3323	25326
116	3344	25238
117	3363	25144
118	3384	25059
119	3405	24973
120	3425	24886
121	3447	24812
122	3468	24727
123	3488	24643
124	3509	24566
125	3530	24490
126	3550	24406
127	3570	24327
128	3592	24255
129	3613	24183
130	3634	24110
131	3656	24044
132	3677	23973
133	3697	23896
134	3718	23826
135	3739	23755
136	3760	23688
137	3781	23619
138	3802	23552
139	3821	23477
140	3842	23409
141	3863	23344
142	3883	23275
143	3903	23204
144	3924	23138
145	3945	23076
146	3965	23012
147	3985	22945
148	4006	22885
149	4026	22814
150	4045	22747
151	4065	22681
152	4085	22615
153	4106	22557
154	4126	22494
155	4145	22429
156	4165	22367
157	4185	22304
158	4204	22237
159	4222	22170
160	4242	22107
161	4261	22045
162	4281	21984
163	4300	21921
164	4320	21862
165	4339	21803
166	4358	21741
167	4379	21688
168	4399	21632
169	4419	21579
170	4438	21518
171	4458	21460
172	4477	21403
173	4496	21345
174	4519	21306
175	4538	21249
176	4557	21191
177	4578	21141
178	4597	21087
179	4617	21035
180	4636	20978
181	4655	20923
182	4674	20867
183	4693	20816
184	4713	20763
185	4732	20712
186	4752	20661
187	4771	20606
188	4790	20554
189	4809	20504
190	4829	20454
191	4847	20401
192	4867	20354
193	4888	20311
194	4908	20265
195	4928	20216
196	4947	20166
197	4966	20116
198	4985	20067
199	5005	20020
200	5024	19972
201	5043	19923
202	5063	19878
203	5081	19829
204	5101	19783
205	5120	19735
206	5140	19691
207	5160	19648
208	5179	19603
209	5199	19559
210	5218	19514
211	5239	19474
212	5258	19428
213	5277	19382
214	5296	19338
215	5317	19300
216	5337	19259
217	5357	19217
218	5376	19174
219	5396	19131
220	5416	19090
221	5435	19047
222	5454	19006
223	5474	18965
224	5494	18924
225	5514	18884
226	5534	18845
227	5553	18804
228	5573	18765
229	5593	18724
230	5612	18683
231	5632	18645
232	5652	18606
